SampleID,populations
PM0003-C_maj,Mali
PM0004-C,Mali
PM0017-C,Mali
PM0020-C,Mali
PM0021-C,Mali
PM0023-C_maj,Mali
PM0042-C,Mali
PM0047-C,Mali
PM0048-C,Mali
PM0049-C,Mali
PM0062-C,Mali
PM0068-C,Mali
PM0071-C,Mali
PM0074-C,Mali
PM0086-C,Mali
PM0090-C,Mali
PM0096-C,Mali
PM0097-C,Mali
PM0098-C,Mali
PM0113-C,Mali
PM0114-C,Mali
PM0115-C,Mali
PM0117-C,Mali
PM0124-C,Mali
PM0127-C,Mali
PM0129-C,Mali
PM0132-C,Mali
PM0133-C,Mali
PM0136-C,Mali
PM0142-C,Mali
PM0145-C,Mali
PM0146-C,Mali
PM0153-C_maj,Mali
PM0156-C,Mali
PM0157-C,Mali
PM0160-C,Mali
PN0004_C,PNG
PN0006_C,PNG
PN0010_C,PNG
PN0011_C,PNG
PN0012_C_maj,PNG
PN0014_C,PNG
PN0015_C,PNG
PN0022_C,PNG
PN0023_C,PNG
PN0025_C,PNG
PN0031_C,PNG
PN0032_C_maj,PNG
PN0037_C,PNG
PN0043_C_maj,PNG
PN0055_C,PNG
PN0055_Cx,PNG
PN0056_C,PNG
PN0057_C,PNG
PN0058_Cx,PNG
PN0059_C,PNG
PN0063_C,PNG
PN0073_C,PNG
PN0074_C,PNG
PN0077_C_maj,PNG
PN0078_C,PNG
PN0079_C,PNG
PN0082_C,PNG
PN0084_C,PNG
PN0085_C,PNG
PN0086_C,PNG
PN0087_C,PNG
PN0090_C,PNG
PN0097_C,PNG
PN0098_C,PNG
PN0099_C,PNG
PN0101_C,PNG
PN0102_C,PNG
PN0103_C,PNG
PN0104_C,PNG
PN0105_C,PNG
PN0107_C,PNG
PN0108_C,PNG
PN0109_C_maj,PNG
PN0110_C,PNG
PN0111_C,PNG
PN0113_C,PNG
PN0114_C,PNG
PN0115_C,PNG
PN0116_C,PNG
PN0120_C,PNG
PN0121_C,PNG
PN0122_C,PNG
PN0124_C,PNG
PN0125_C_maj,PNG
PN0126_C,PNG
PN0127_C_maj,PNG
PN0129_C,PNG
PN0130_C,PNG
PN0134_C,PNG
PN0135_C,PNG
PN0138_C,PNG
PN0140_C,PNG
PN0141_C,PNG
PN0143_C,PNG
PN0145_C,PNG
PN0148_C,PNG
PN0149_C,PNG
PN0150_C_maj,PNG
PN0151_C,PNG
PN0153_C,PNG
PN0155_C,PNG
PN0156_C,PNG
PN0159_C,PNG
PN0160_C,PNG
PN0161_C,PNG
PN0162_C_maj,PNG
PN0163_C,PNG
PN0164_C,PNG
PN0166_C,PNG
PN0167_C_maj,PNG
PN0168_C,PNG
PN0169_C,PNG
PN0171_C,PNG
PN0172_C,PNG
PN0173_C,PNG
PN0176_C,PNG
PN0177_C,PNG
PN0178_C,PNG
PN0179_C,PNG
PN0180_C,PNG
PN0181_C,PNG
PN0182_C,PNG
PN0184_C,PNG
PN0186_C,PNG
PN0187_C,PNG
PN0190_C,PNG
PN0191_C,PNG
PN0192_C,PNG
PNG_DRS015A,PNG
PNG_DRS034,PNG
PNG_XIA508,PNG
PNG_XPA028_maj,PNG
PNG_XUA001,PNG
PNG_XUA011,PNG
PNG_XUA012,PNG
PNG_XUA020,PNG
PNG_XUA030,PNG
PNG_XUB001,PNG
PNG_XUC006,PNG
PNG_XUC009,PNG
PNG_XUC021,PNG
PNG_XUC022,PNG
PR0114-C,Bangladesh 
PR0115-C_maj,Bangladesh 
PR0117-C,Bangladesh 
PR0118-C,Bangladesh 
